Sample,Lat,Long,Age,STD,Ref
P35,59.96,-147.68,4.4,0.5,Arkle et al 2013
P16,61.14,-147.83,6.5,0.8,Arkle et al 2013
P21,61.2,-147.71,6.5,1.1,Arkle et al 2013
P53,61.18,-147.87,8.4,1,Arkle et al 2013
P54,61.06,-148,8.5,1.3,Arkle et al 2013
P12,61.05,-147.52,10,1,Arkle et al 2013
P13,60.91,-148.01,10.7,1,Arkle et al 2013
P45,60.89,-148.1,10.8,2,Arkle et al 2013
P31,60.97,-148.21,12,2.3,Arkle et al 2013
P2,60.85,-148.43,12.4,1.5,Arkle et al 2013
P24,61.07,-148.12,12.6,1.8,Arkle et al 2013
P58,61.06,-148.25,13.3,1.4,Arkle et al 2013
P44,60.87,-147.93,13.8,1.6,Arkle et al 2013
P43,60.81,-147.97,15.3,1.9,Arkle et al 2013
P3,60.79,-148.1,15.4,1.6,Arkle et al 2013
P5,60.88,-147.36,16.4,3,Arkle et al 2013
P6,60.95,-147.41,21.1,1.4,Arkle et al 2013
P33,60.67,-148.19,21.5,2.5,Arkle et al 2013
P32,60.51,-148.37,23.5,3.5,Arkle et al 2013
P37,60.09,-147.91,32.6,5.9,Arkle et al 2013
P34,60.47,-147.96,36.6,3.2,Arkle et al 2013
P42,60.73,-147.97,37.4,4.6,Arkle et al 2013
05NEN,63.5098,-147.8843,1.2,0.3,Benowitz et al 2011
05PH006A,63.5386,-147.0736,2.7,0.2,Benowitz et al 2011
05PH005A,63.5291,-147.0158,2.8,0.5,Benowitz et al 2011
05PH005B,63.5291,-147.0158,2.9,0.6,Benowitz et al 2011
22DEB,63.5391,-147.3237,3.3,0.5,Benowitz et al 2011
05PH002A,63.573,-146.9057,3.5,0.8,Benowitz et al 2011
05PH001A,63.5952,-146.9522,5.1,0.8,Benowitz et al 2011
01BAL,63.6326,-146.8637,6.7,1.6,Benowitz et al 2011
05PH003A,63.5043,-146.8302,15.5,1.3,Benowitz et al 2011
02Bull,63.3859,-149.5753,45.03,5.46,Benowitz et al 2011
03PH403A,61.61096,-152.35458,5.8,0.8,Benowitz et al 2012
03PH402A,61.60664,-152.36806,7.9,1.3,Benowitz et al 2012
03PH405A,61.65242,-152.33069,11.2,5.8,Benowitz et al 2012
03PH406A,61.65546,-152.31454,11.6,2.5,Benowitz et al 2012
03PH404A,61.62679,-152.33105,16.6,2.2,Benowitz et al 2012
03PH408A,61.67676,-152.28687,22.3,2.1,Benowitz et al 2012
01PH426A,61.73477,-152.07037,23.1,2.9,Benowitz et al 2012
03PH401A,61.58353,-152.39147,23.4,4.3,Benowitz et al 2012
02PH332A,61.66985,-152.08268,35.5,2.7,Benowitz et al 2012
15Peter,63.1532,-151.0987,1.03,6.58,Benowitz et al 2022
05NEN,63.5098,-147.8843,1.2,0.3,Benowitz et al 2022
18Peter,63.1872,-151.0116,2.16,0.71,Benowitz et al 2022
13Peter,63.1797,-150.9862,2.29,1.05,Benowitz et al 2022
16Peter,63.1616,-151.0838,2.43,1.95,Benowitz et al 2022
27Ched,63.0514,-151.3755,2.62,3.29,Benowitz et al 2022
20Ched,63.0094,-151.4455,2.62,1.59,Benowitz et al 2022
05PH006A,63.5386,-147.0736,2.7,0.2,Benowitz et al 2022
06 Mud,63.1093,-150.883,2.72,1.04,Benowitz et al 2022
05PH005A,63.5291,-147.0158,2.8,0.5,Benowitz et al 2022
05PH005B,63.5291,-147.0158,2.9,0.6,Benowitz et al 2022
01PIL,63.5398,-146.0466,2.99,0.92,Benowitz et al 2022
21Peter,63.1947,-150.9296,3.1,1.28,Benowitz et al 2022
22DEB,63.5391,-147.3237,3.3,0.5,Benowitz et al 2022
05PH002A,63.573,-146.9057,3.5,0.8,Benowitz et al 2022
11Ched,62.9537,-151.6961,3.54,2.22,Benowitz et al 2022
08 Mud,63.2054,-150.8519,3.6,1.38,Benowitz et al 2022
31Ched,62.9756,-151.624,3.72,2.44,Benowitz et al 2022
15Ched,63.0341,-151.4102,3.74,2.08,Benowitz et al 2022
14Peter,63.1459,-151.0721,3.83,1.63,Benowitz et al 2022
2008LF196A,63.8434,-147.6087,4.12,0.66,Benowitz et al 2022
