Code,Map Unit,Name,Age,Region,PageSource,Description,Generalized 
1,bu,Bedrock of unknown type or age or areas not mapped,unknown,ST,142,,TECTONIC ASSEMBLAGES AND MÉLANGE
2,CDbrv,Volcanic rocks and sills,Pennsylvanian? to Devonian,NR;NW,87;121;123,Clgv—Volcanic rocks and sills associated with Lisburne Group; MDtv—Tuffaceous volcanic rocks; Dv—Metavolcanic rocks and sills,VOLCANIC ROCKS; METAMORPHIC ROCKS
3,Clgv,Volcanic rocks and sills associated with Lisburne Group,Pennsylvanian? and Mississippian,NR,87,,VOLCANIC ROCKS
4,MDtv,Tuffaceous volcanic rocks,Mississippian? to Devonian,NW,121,,METAMORPHIC ROCKS
5,Dv,Metavolcanic rocks and sills,Devonian,NR,123,,METAMORPHIC ROCKS
6,Clg,"Lisburne Group, undivided",Carboniferous,NR,50,,SEDIMENTARY ROCKS
7,Clgne,"Wahoo, Alapah, and Wachsmuth Limestones (Lisburne Group)",Middle Pennsylvanian to Mississippian,NE,51-52,*lgw—Wahoo Limestone; Mlga—Alapah Limestone; Mlgw—Wachsmuth Limestone,SEDIMENTARY ROCKS
8,*lgw,*lgw—Wahoo Limestone,Middle and Lower Pennsylvanian and Upper Mississippian?,NE,51,,SEDIMENTARY ROCKS
9,Mlga,Mlga—Alapah Limestone,Upper Mississippian,NE,52,,SEDIMENTARY ROCKS
10,Mlgw,Wachsmuth Limestone,Mississippian,NE,52,,SEDIMENTARY ROCKS
11,Clgtk,Tupik and Kogruk Formations (Lisburne Group),Pennsylvanian to Upper Mississippian,NW,50,Clgt—Tupik Formation; Clgk—Kogruk Formation,SEDIMENTARY ROCKS
12,Clgt,Tupik Formation,Pennsylvanian and Upper Mississippian,NW,50,,SEDIMENTARY ROCKS
13,Clgk,Kogruk Formation,Upper Mississippian,NW,50,,SEDIMENTARY ROCKS
14,Crc,Rainbow chert (Togiak-Tikchik Complex),Carboniferous?,SW,135,,TECTONIC ASSEMBLAGES AND MÉLANGE
15,_a,Adams Argillite,Cambrian,"EC, NE",73,,SEDIMENTARY ROCKS
16,_<t,Tindir Group,Cambrian? and Proterozoic,"EC, NE",73,,SEDIMENTARY ROCKS
17,_<wg,"Wales Group, undivided",Cambrian to Proterozoic,SE,128,_<wgm—Wales Group marble,METAMORPHIC ROCKS
18,_<wgm,Wales Group marble,Cambrian to Proterozoic,SE,129,,METAMORPHIC ROCKS
19,_<wn,Wickersham and Neruokpuk units,Cambrian and Proterozoic,"EC, CN, NE",73,,SEDIMENTARY ROCKS
20,Das,Bimodal metavolcanic rocks,Devonian,NR,122,,METAMORPHIC ROCKS
21,Dbf,"Beaucoup Formation, undivided",Devonian,NR,56,Dbfl—Limestone and similar rocks; Dbfw—Wacke member,SEDIMENTARY ROCKS
22,Dbfl,Limestone and similar rocks,Upper and Middle Devonian,NR,56,,SEDIMENTARY ROCKS
23,Dbfw,Wacke member,Upper Devonian,NR,56,,SEDIMENTARY ROCKS
24,Dcc,Karheen and Cedar Cove Formations,Devonian,SE,63,,SEDIMENTARY ROCKS
25,D_bg,Baird Group and similar rocks,Middle Devonian to upper Cambrian,"NE, NW",64,Dke—Kugururok Formation and Eli Limestone,SEDIMENTARY ROCKS
26,Dke,Kugururok Formation and Eli Limestone,Devonian,"NE, NW",65,,SEDIMENTARY ROCKS
27,D_mt,Metaturbidite marble and calcareous schist (Nome Complex),Devonian to Cambrian,SP,142,,BEDROCK
28,D_sp,Schist and phyllite of the Alaska Range,Devonian or older,SC,124,|arqm—Pelitic and quartzose schist of the Alaska Range; DOmvs—Yanert Fork sequence of Csejtey and others (1992) and correlative rocks,METAMORPHIC ROCKS
29,|arqm,Pelitic and quartzose schist of the Alaska Range,Devonian or older,SC,124,,METAMORPHIC ROCKS
30,Domvs,Yanert Fork sequence of Csejtey and others (1992) and correlative rocks,Devonian to Ordovician?,SC,124,,METAMORPHIC ROCKS
31,D_wbl,Farewell basinal facies carbonate rocks,Devonian or older,SW;WC,59-60,"D_d—White Mountain sequence, basinal facies; DSbr—Barren Ridge Limestone and correlative units; DSpf—Paradise Fork Formation and correlative units",SEDIMENTARY ROCKS
32,D_d,"White Mountain sequence, basinal facies",Devonian to Cambrian or older,"SW, WC",59,,SEDIMENTARY ROCKS
33,DSbr,Barren Ridge Limestone and correlative units,Devonian to Silurian?,WC,59,,SEDIMENTARY ROCKS
34,DSpf,Paradise Fork Formation and correlative units,Lower Devonian and Silurian,SW,60,,SEDIMENTARY ROCKS
35,Degh,Hunt Fork Shale (Endicott Group),Devonian,NR,54,,SEDIMENTARY ROCKS
36,Degn,Noatak Sandstone (Endicott Group),Upper Devonian,NR,54,,SEDIMENTARY ROCKS
37,Dgb,"Gambier Bay Formation, undivided",Devonian,SE,122,Dgbm—Marble of the Gambier Bay Formation,METAMORPHIC ROCKS
38,Dgbm,Marble of the Gambier Bay Formation,Devonian,SE,122,,METAMORPHIC ROCKS
39,DOgi,Older plutonic rocks of southeast Alaska,Early Devonian to Ordovician,SE,108,"DOgi—Syenite, trondhjemite, and granite; Ogi—Granodiorite and related rocks",INTRUSIVE ROCKS
40,Dogi,"Syenite, trondhjemite, and granite",Early Devonian to Ordovician?,SE,108,,INTRUSIVE ROCKS
41,Ogi,Granodiorite and related rocks,Ordovician,SE,108,,INTRUSIVE ROCKS
42,DOls,Thin-bedded limestone,Lower Devonian to Ordovician,SW,66,,SEDIMENTARY ROCKS
43,DOsc,"Shale, chert, and argillite",Lower Devonian to Ordovician,EC;SE;CN,66;69,"DOka—McCann Hill Chert, Road River Formation, and Troublesome unit of Weber and others (1992); DOhb—Hood Bay Formation; St—Turbidite deposits of southeast Alaska; Slc—Lost Creek unit",SEDIMENTARY ROCKS
44,Doka,"McCann Hill Chert, Road River Formation, and Troublesome unit of Weber and others (1992)",Lower Devonian to Ordovician,EC,66,,SEDIMENTARY ROCKS
45,Dohb,Hood Bay Formation,Lower? Devonian to Ordovician,SE,66,,SEDIMENTARY ROCKS
46,St,Turbidite deposits of southeast Alaska,Silurian,SE,69,,SEDIMENTARY ROCKS
47,Slc,Lost Creek unit,Silurian,CN,70,,SEDIMENTARY ROCKS
48,DOtu,"Metasedimentary and metavolcanic rocks of Tukpahlearik Creek, undivided",Devonian to Ordovician,NW,123,"DOtu—Metasedimentary and metavolcanic rocks of Tukpahlearik Creek, undivided; DOtm—Marble of Tukpahlearik Creek; DOtp—Pelitic schist and metavolcanic rocks of Tukpahlearik Creek",METAMORPHIC ROCKS
49,Dotu,"Metasedimentary and metavolcanic rocks of Tukpahlearik Creek, undivided",Devonian to Ordovician,NW,123,,METAMORPHIC ROCKS
50,Dotm,Marble of Tukpahlearik Creek,Devonian to Ordovician,NW,124,,METAMORPHIC ROCKS
51,Dotp,Pelitic schist and metavolcanic rocks of Tukpahlearik Creek,Devonian to Ordovician,NW,124,,METAMORPHIC ROCKS
52,D<cn,Metasedimentary and metavolcanic rocks of the Central Belt and Northern Thrust assemblage of Till and others (2008a),Devonian to Proterozoic,NR,125-127;129,"D<asm—Mixed assemblage of metasedimentary and meta- volcanic rocks in the Brooks Range; D<sgm—Schist, paragneiss, and marble; Sbs—Black phyllite and metalimestone; |<b—Metasedimentary rocks of Bluecloud Mountain",METAMORPHIC ROCKS
53,D<asm,Mixed assemblage of metasedimentary and meta- volcanic rocks in the Brooks Range,Devonian to Proterozoic,NR,126,,METAMORPHIC ROCKS
54,D<sgm,"Schist, paragneiss, and marble",Devonian to Neoproterozoic,NR,125,,METAMORPHIC ROCKS
55,Sbs,Black phyllite and metalimestone,Silurian,NR,127,,METAMORPHIC ROCKS
56,|<b,Metasedimentary rocks of Bluecloud Mountain,Early Paleozoic to Proterozoic?,NR,129,,METAMORPHIC ROCKS
57,D<ga,"Gneiss, amphibolite, schist, quartzite, and marble (Yukon- Tanana crystalline complex)",Devonian or older,EC,117,"|yms—Mafic schist and amphibolite; |<ybg—Biotite gneiss, marble, schist, quartzite, and amphibolite",METAMORPHIC ROCKS
58,|yms,Mafic schist and amphibolite,Devonian or older Paleozoic,EC,117,,METAMORPHIC ROCKS
59,|<ybg,"Biotite gneiss, marble, schist, quartzite, and amphibolite",Devonian or older,EC,117,,METAMORPHIC ROCKS
60,D<nl,Older carbonate rocks of northern Alaska,Lower Devonian to Proterozoic?,NE;NR,65;72,"DZnl—Mount Copleston Limestone and Nanook Limestone; O<ls—Limestone, northern Alaska",SEDIMENTARY ROCKS
61,DZnl,Mount Copleston Limestone and Nanook Limestone,Lower Devonian to Ediacaran,NE,65,,SEDIMENTARY ROCKS
62,O<ls,"Limestone, northern Alaska",Ordovician through Proterozoic?,NR,72,,SEDIMENTARY ROCKS
63,D<sb,Brooks Range schist belt,Devonian to Proterozoic,,125-126,D<aqm—Quartz-mica schist of the Brooks Range; D<acs—Calcareous schist of Brooks Range,METAMORPHIC ROCKS
64,D<aqm,Quartz-mica schist of the Brooks Range,Devonian to Proterozoic,NR,125,,METAMORPHIC ROCKS
65,D<acs,Calcareous schist of Brooks Range,Devonian to Proterozoic,NR,126,,METAMORPHIC ROCKS
66,D<sq,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),Devonian and older,NR,116-117,"|<yqs—Quartzite and pelitic schist; |<yqm—Pelitic schist, including Chena River sequence",METAMORPHIC ROCKS
67,|<yqs,Quartzite and pelitic schist,Devonian and older,EC,116,,METAMORPHIC ROCKS
